Time_s,Input_u_PWM,Output_y_Temp
440.646,50.0,57.25
441.236,50.0,57.0
441.806,50.0,57.25
442.367,50.0,57.25
442.952,50.0,57.5
443.504,50.0,57.5
444.053,50.0,57.75
444.631,50.0,57.5
444.641,50.0,57.75
445.237,50.0,57.75
445.797,50.0,57.75
446.394,50.0,57.75
446.962,50.0,57.5
447.516,50.0,57.75
448.084,50.0,57.25
448.101,50.0,58.0
448.713,50.0,57.75
449.270,50.0,57.75
449.840,50.0,57.75
450.409,50.0,58.0
450.985,50.0,58.0
451.547,50.0,58.5
452.114,50.0,58.0
452.123,50.0,58.25
452.721,50.0,58.0
453.283,50.0,58.25
453.844,50.0,58.25
454.392,50.0,58.5
454.961,50.0,58.5
455.519,50.0,58.5
456.089,50.0,58.5
456.099,50.0,58.5
456.684,50.0,58.25
457.250,50.0,58.25
457.811,50.0,58.75
458.382,50.0,58.75
458.967,50.0,58.75
459.537,50.0,58.75
460.127,50.0,59.0
460.139,50.0,59.0
460.731,50.0,59.0
461.288,50.0,59.25
461.839,50.0,59.0
462.411,50.0,59.0
462.972,50.0,59.0
463.561,50.0,59.0
464.133,50.0,59.0
464.143,50.0,59.25
464.743,50.0,59.0
465.310,50.0,59.5
465.882,50.0,59.25
466.459,50.0,59.25
467.024,50.0,59.5
467.594,50.0,59.0
467.605,50.0,59.5
468.187,50.0,59.25
468.756,50.0,59.5
469.324,50.0,59.75
469.891,50.0,59.5
470.458,50.0,59.5
471.020,50.0,59.75
471.589,50.0,59.75
471.600,50.0,59.75
472.173,50.0,59.25
472.735,50.0,59.75
473.302,50.0,59.5
473.869,50.0,59.5
474.447,50.0,59.75
475.014,50.0,59.75
475.581,50.0,60.0
475.597,50.0,60.0
476.183,50.0,60.0
476.756,50.0,59.5
477.336,50.0,60.25
477.898,50.0,60.0
478.464,50.0,60.0
479.036,50.0,60.5
479.615,50.0,60.25
479.623,50.0,60.5
480.223,50.0,60.25
480.788,50.0,60.0
481.355,50.0,60.5
481.925,50.0,60.5
482.490,50.0,60.5
483.064,50.0,60.5
483.635,50.0,60.5
483.643,50.0,60.5
484.235,50.0,60.5
484.799,50.0,60.75
485.376,50.0,61.0
485.943,50.0,60.75
486.507,50.0,61.0
487.070,50.0,61.0
487.627,50.0,61.0
487.632,50.0,61.0
488.221,50.0,61.0
488.793,50.0,61.0
489.375,50.0,60.75
489.947,50.0,61.0
490.523,50.0,61.0
491.081,50.0,61.25
491.096,50.0,61.25
491.676,50.0,60.75
492.244,50.0,61.0
492.808,50.0,61.25
493.368,50.0,61.25
493.938,50.0,61.0
494.509,50.0,61.25
495.073,50.0,61.0
495.632,50.0,61.25
495.641,50.0,61.5
496.225,50.0,60.75
496.794,50.0,61.5
497.362,50.0,61.5
497.935,50.0,61.75
498.500,50.0,61.25
499.066,50.0,61.25
499.642,50.0,61.5
499.642,50.0,61.5
500.231,50.0,61.75
500.797,50.0,61.5
501.531,50.0,61.75
502.093,50.0,61.5
502.093,50.0,62.0
502.683,50.0,61.5
503.252,50.0,62.0
503.825,50.0,61.75
504.396,50.0,62.0
504.967,50.0,62.25
505.533,50.0,62.0
506.121,50.0,61.75
506.121,50.0,62.25
506.709,50.0,61.75
507.277,50.0,62.0
507.852,50.0,62.5
508.409,50.0,62.0
508.977,50.0,62.5
509.537,50.0,62.5
510.103,50.0,62.5
510.103,50.0,62.5
510.699,50.0,62.5
511.271,50.0,62.5
511.856,50.0,62.5
512.418,50.0,62.75
512.986,50.0,62.75
513.551,50.0,62.75
514.113,50.0,62.5
514.113,50.0,63.0
514.712,50.0,62.25
515.272,50.0,62.75
515.838,50.0,62.75
516.399,50.0,63.0
516.970,50.0,62.75
517.535,50.0,63.0
518.099,50.0,62.75
518.272,50.0,63.0
518.862,50.0,62.75
519.433,50.0,63.0
519.998,50.0,62.75
520.561,50.0,63.25
521.130,50.0,63.5
521.136,50.0,63.25
521.730,50.0,62.75
522.289,50.0,63.5
522.865,50.0,63.5
523.429,50.0,63.5
523.997,50.0,63.25
524.570,50.0,62.75
525.139,50.0,63.5
525.139,50.0,63.5
525.742,50.0,63.25
526.315,50.0,63.5
526.886,50.0,63.25
527.448,50.0,63.25
528.026,50.0,63.75
528.593,50.0,63.75
528.603,50.0,64.0
529.185,50.0,63.5
529.746,50.0,63.5
530.308,50.0,64.0
530.874,50.0,63.75
531.435,50.0,64.0
531.991,50.0,64.0
532.567,50.0,64.25
533.127,50.0,64.0
533.226,50.0,64.25
533.814,50.0,64.0
534.381,50.0,64.25
534.948,50.0,64.25
535.518,50.0,64.0
536.078,50.0,64.25
536.090,50.0,64.5
536.670,50.0,64.0
537.255,50.0,64.5
537.848,50.0,64.75
538.413,50.0,64.5
538.984,50.0,64.5
539.548,50.0,64.75
540.110,50.0,64.25
540.110,50.0,64.75
540.706,50.0,64.5
541.279,50.0,64.75
541.842,50.0,64.5
542.409,50.0,64.75
542.975,50.0,64.75
543.543,50.0,65.0
544.117,50.0,64.75
544.117,50.0,64.5
544.710,50.0,64.0
545.278,50.0,65.0
545.849,50.0,65.0
546.418,50.0,65.0
546.975,50.0,65.0
547.557,50.0,65.0
548.130,50.0,64.75
548.139,50.0,65.25
548.718,50.0,65.25
549.286,50.0,64.75
549.854,50.0,65.25
550.480,50.0,65.0
551.077,50.0,65.0
551.093,50.0,65.25
551.683,50.0,65.0
552.253,50.0,65.5
552.818,50.0,64.75
553.398,50.0,65.25
553.964,50.0,65.25
554.534,50.0,65.25
555.104,50.0,65.5
555.114,50.0,65.75
555.702,50.0,64.75
556.266,50.0,64.75
556.829,50.0,65.5
557.385,50.0,65.25
557.947,50.0,65.75
558.514,50.0,65.75
559.094,50.0,65.75
559.094,50.0,66.0
559.681,50.0,66.0
560.246,50.0,66.0
560.813,50.0,65.75
561.378,50.0,65.5
561.943,50.0,66.0
562.510,50.0,66.0
563.076,50.0,65.5
563.086,50.0,65.75
563.676,50.0,66.25
564.254,50.0,66.25
564.829,50.0,65.75
565.398,50.0,65.75
565.964,50.0,66.0
566.527,50.0,66.25
567.096,50.0,66.25
567.106,50.0,66.25
567.689,50.0,66.5
568.253,50.0,66.5
568.838,50.0,66.0
569.406,50.0,66.75
569.971,50.0,66.25
570.537,50.0,66.75
571.107,50.0,67.0
571.117,50.0,66.75
571.702,50.0,66.75
572.272,50.0,66.75
572.835,50.0,66.75
573.408,50.0,66.75
573.970,50.0,66.75
574.547,50.0,67.0
575.115,50.0,67.0
575.122,50.0,67.0
575.702,50.0,67.0
576.272,50.0,67.0
576.833,50.0,67.25
577.421,50.0,67.25
577.990,50.0,67.25
578.552,50.0,67.0
579.114,50.0,67.0
579.124,50.0,67.5
579.709,50.0,67.25
580.284,50.0,66.75
580.861,50.0,67.0
